流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度
909972,850380,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面右邊第一桿,水泥桿,,鈉光燈,250,FALSE,266643.3125,2762361.5,自備桿,6
909973,850381,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號,水泥桿,,鈉光燈,250,FALSE,266600.375,2762384,自備桿,6
909974,850382,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面左邊第一桿,水泥桿,,鈉光燈,250,FALSE,266561.7813,2762405.5,自備桿,6
909975,850383,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面左邊第二桿,水泥桿,,鈉光燈,250,FALSE,266518.5,2762432.75,自備桿,6
909976,850384,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面左邊第三桿,水泥桿,,鈉光燈,250,FALSE,266477.125,2762451.5,自備桿,6
909977,850385,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面左邊第四桿,水泥桿,,鈉光燈,250,FALSE,266453.8438,2762464.75,自備桿,6
909978,850386,四,過嶺里,過嶺路二段,過嶺里過嶺路二段496號左邊第四桿,水泥桿,,鈉光燈,250,FALSE,266419.4063,2762483.5,自備桿,6
909979,850387,四,過嶺里,過嶺路二段,過嶺里過嶺路二段496號左邊第三桿,水泥桿,,鈉光燈,250,FALSE,266393,2762495.75,自備桿,6
909980,850388,四,過嶺里,過嶺路二段,過嶺里過嶺路二段496號左邊第二桿,水泥桿,,鈉光燈,250,FALSE,266357,2762512.25,自備桿,6
909981,850389,四,過嶺里,過嶺路二段,過嶺里過嶺路二段496號左邊第一桿,水泥桿,,鈉光燈,250,FALSE,266332.6563,2762524.5,自備桿,6
909982,850390,四,過嶺里,過嶺路二段,過嶺里過嶺路二段496號旁,水泥桿,,鈉光燈,250,FALSE,266284.3438,2762543,自備桿,6
909983,850391,四,過嶺里,過嶺路二段,過嶺里過嶺路二段530號左邊第二桿,水泥桿,,鈉光燈,250,FALSE,266257.75,2762555.5,自備桿,6
909984,850392,四,過嶺里,過嶺路二段,過嶺里過嶺路二段530號左邊,水泥桿,,鈉光燈,250,FALSE,266234.2813,2762567,自備桿,6
909985,850393,四,過嶺里,過嶺路二段,過嶺里過嶺路二段530號,水泥桿,,鈉光燈,250,FALSE,266212.2188,2762567.25,自備桿,6
909986,850394,四,過嶺里,過嶺路二段,過嶺里過嶺路二段530號,水泥桿,,鈉光燈,250,FALSE,266170.6563,2762527,自備桿,6
909987,850395,四,過嶺里,雙塘路,過嶺里雙塘路473號,水泥桿,,鈉光燈,250,FALSE,266122,2762478.75,電信桿,6
909988,850396,四,過嶺里,雙塘路,過嶺里雙塘路473號,金屬桿鍍鋅,,鈉光燈,250,FALSE,266117.125,2762484.75,自備桿,6
909989,850397,四,過嶺里,過嶺路二段,過嶺里過嶺路二段692號對面左邊第三桿,水泥桿,,鈉光燈,250,FALSE,266083.0625,2762517.25,自備桿,6
909990,850398,四,過嶺里,過嶺路二段,過嶺里過嶺路二段692號對面左邊第二桿,水泥桿,,鈉光燈,250,FALSE,266066.0313,2762539.5,自備桿,6
909991,850399,四,過嶺里,過嶺路二段,過嶺里過嶺路二段692號對面左邊第一桿,水泥桿,,鈉光燈,250,FALSE,266044.4688,2762559.25,自備桿,6
909992,850400,四,過嶺里,過嶺路二段,過嶺里過嶺路二段692號,水泥桿,,鈉光燈,250,FALSE,266020.4688,2762581.75,自備桿,6
909993,850401,四,過嶺里,過嶺路二段,過嶺里過嶺路二段720號左,水泥桿,,鈉光燈,250,FALSE,266017.2813,2762604.75,台電桿,6
909994,850402,四,過嶺里,過嶺路二段,過嶺里過嶺路二段693號對面右邊第一桿,水泥桿,,鈉光燈,250,FALSE,265999.9688,2762613.75,自備桿,6
909995,850403,四,過嶺里,過嶺路二段,過嶺里過嶺路二段720號,水泥桿,,鈉光燈,250,FALSE,265987.2813,2762653.25,自備桿,6
909996,850404,四,過嶺里,過嶺路二段,過嶺里過嶺路二段720號對面右邊第一桿,水泥桿,,鈉光燈,250,FALSE,265978.875,2762719.5,自備桿,6
909997,850405,四,過嶺里,雙塘路,過嶺里雙塘路473號右前方,水泥桿,,鈉光燈,250,FALSE,266139.875,2762467.75,台電桿,6
909998,850406,四,過嶺里,雙塘路,過嶺里雙塘路473號左前方第一桿,水泥桿,,鈉光燈,250,FALSE,266158.7188,2762450.75,台電桿,6
909999,850407,四,過嶺里,雙塘路,過嶺里雙塘路10鄰558巷(過嶺49號),水泥桿,,鈉光燈,250,FALSE,266207,2762408,台電桿,6
910000,850408,四,過嶺里,雙塘路,過嶺里雙塘路588巷28號前(福田路76號),水泥桿,,鈉光燈,250,FALSE,266238.2188,2762408,自備桿,6
910002,850410,四,過嶺里,雙塘路,過嶺里雙塘路451號,水泥桿,,鈉光燈,250,FALSE,266183.875,2762384.75,台電桿,6
910003,850411,四,過嶺里,雙塘路,過嶺里雙塘路10鄰土地公廟左後,柱立式水泥桿,,鈉氣燈,250,FALSE,266139,2762321,台電桿,6
910004,850412,四,過嶺里,雙塘路,過嶺里雙塘路10鄰土地公廟左前,柱立式水泥桿,,鈉氣燈,250,FALSE,266158.375,2762297,台電桿,6
910005,850413,四,過嶺里,雙塘路,過嶺里雙塘路10鄰土地公廟右前,柱立式水泥桿,,鈉氣燈,250,FALSE,266127.8125,2762290,自備桿,6
910006,850414,四,過嶺里,雙塘路,過嶺里雙塘路10鄰土地公廟右前樹叢邊,柱立式水泥桿,,鈉氣燈,250,FALSE,266139.25,2762265.5,自備桿,6
910007,850415,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰375巷進入第一桿,金屬桿鍍鋅,,鈉光燈,250,FALSE,266338.5938,2762489.75,自備桿,6
910008,850416,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰375巷進入第二桿,金屬桿鍍鋅,,鈉光燈,250,FALSE,266331.9688,2762475,自備桿,6
910009,850417,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰375巷進入第三桿,金屬桿鍍鋅,,鈉光燈,250,FALSE,266321.375,2762453.25,自備桿,6
910010,850418,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰375巷進入第四桿,金屬桿鍍鋅,,鈉光燈,250,FALSE,266310.4063,2762431,自備桿,6
910011,850419,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰291巷進入第一桿,水泥桿,,鈉光燈,250,FALSE,266478.1563,2762396.75,自備桿,6
910012,850420,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰291巷進入第二桿,水泥桿,,鈉光燈,250,FALSE,266467.0313,2762367.75,自備桿,6
910013,850421,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰291巷進入第三桿,水泥桿,,鈉光燈,250,FALSE,266449.5,2762340,自備桿,6
910014,850422,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰291巷進入第四桿,水泥桿,,鈉光燈,250,FALSE,266427.5938,2762339.25,自備桿,6
910015,850423,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰291巷80號,水泥桿,,鈉光燈,250,FALSE,266408.125,2762340.75,自備桿,6
910016,850424,四,過嶺里,過嶺路二段,過嶺里過嶺路二段11鄰291巷進入第六桿,水泥桿,,鈉光燈,250,FALSE,266356.3125,2762362.25,自備桿,6
910017,850425,四,過嶺里,過嶺路二段,過嶺里過嶺路二段18鄰,水泥桿,,鈉光燈,250,FALSE,266548.2813,2762441,台電桿,6
910018,850426,四,過嶺里,過嶺路二段,過嶺里過嶺路二段456號左後第2支,水泥桿,,鈉光燈,250,FALSE,266590.125,2762480.5,自備桿,6
