station_id,station_name,obs_time,temp,rh,pressure,wind,wind_dir,rain,risk
C0W140,金沙,2026-06-15T18:00:00+08:00,25.9,95.0,1004.8,3.8,199.0,1.0,0
C0W150,金寧,2026-06-15T18:00:00+08:00,25.9,95.0,1002.4,4.7,217.0,3.0,0
C0W160,烏坵,2026-06-15T18:00:00+08:00,24.4,99.0,998.0,9.1,206.0,31.5,0
C0AH70,松山,2026-06-15T18:00:00+08:00,27.6,79.0,1003.5,0.8,48.0,0.0,0
C0E870,高鐵苗栗,2026-06-15T18:00:00+08:00,26.4,83.0,1004.0,1.7,228.0,5.5,0
C0K580,高鐵雲林,2026-06-15T18:00:00+08:00,24.7,96.0,1006.1,2.0,164.0,22.0,0
C0C690,國一五楊N44K,2026-06-15T18:00:00+08:00,24.7,83.0,979.4,0.5,34.0,1.0,0
C0B020,基隆嶼,2026-06-15T18:00:00+08:00,26.7,75.0,995.3,2.2,85.0,0.0,0
C0S900,蘭嶼高中,2026-06-15T18:00:00+08:00,28.9,92.0,1006.6,3.1,217.0,0.0,0
C0S910,蘭嶼燈塔,2026-06-15T18:00:00+08:00,27.1,97.0,984.5,5.3,267.0,0.0,0
C0AI20,白沙灣,2026-06-15T18:00:00+08:00,26.9,82.0,1003.5,1.4,249.0,0.5,0
C0V820,小林,2026-06-15T18:00:00+08:00,22.5,100.0,961.9,0.2,0.0,66.5,50
C0C710,大溪永福,2026-06-15T18:00:00+08:00,24.9,97.0,991.1,0.4,39.0,2.0,0
C0U650,玉蘭,2026-06-15T18:00:00+08:00,23.5,92.0,958.5,0.2,0.0,0.5,0
C0U780,五結,2026-06-15T18:00:00+08:00,26.2,89.0,1005.3,0.0,0.0,1.0,0
C0U710,太平山,2026-06-15T18:00:00+08:00,15.8,99.0,806.5,0.3,103.0,3.5,0
C0U720,南山,2026-06-15T18:00:00+08:00,19.5,97.0,883.9,0.4,143.0,0.5,0
C0U520,雙連埤,2026-06-15T18:00:00+08:00,22.2,97.0,951.6,0.3,231.0,0.0,0
C0U860,頭城,2026-06-15T18:00:00+08:00,25.7,99.0,1006.3,0.0,0.0,0.0,0
C0U870,大礁溪,2026-06-15T18:00:00+08:00,24.3,96.0,955.4,0.0,0.0,0.5,0
C0U890,三星,2026-06-15T18:00:00+08:00,25.8,91.0,995.0,0.3,334.0,0.5,0
C0U900,內城,2026-06-15T18:00:00+08:00,26.4,89.0,1001.0,0.0,0.0,0.0,0
C0U910,冬山,2026-06-15T18:00:00+08:00,25.7,89.0,1005.3,1.4,203.0,0.5,0
C0U600,礁溪,2026-06-15T18:00:00+08:00,26.6,94.0,1005.2,0.3,224.0,0.0,0
C0U750,龜山島,2026-06-15T18:00:00+08:00,24.8,76.0,962.1,2.0,339.0,0.0,0
C0A970,三貂角,2026-06-15T18:00:00+08:00,25.2,88.0,997.0,1.9,341.0,0.0,0
C0U940,羅東,2026-06-15T18:00:00+08:00,26.3,98.0,1005.1,0.0,0.0,0.0,0
C0U950,鶯子嶺,2026-06-15T18:00:00+08:00,20.8,76.0,899.2,2.0,80.0,0.0,0
C0U970,大福,2026-06-15T18:00:00+08:00,25.9,89.0,1006.9,0.0,0.0,0.0,0
C0U980,坪林石牌,2026-06-15T18:00:00+08:00,22.7,100.0,944.0,0.0,0.0,0.5,0
C0T820,天祥,2026-06-15T18:00:00+08:00,22.7,98.0,950.0,0.0,0.0,0.5,0
C0Z100,東華,2026-06-15T18:00:00+08:00,25.4,94.0,1003.2,0.0,0.0,1.0,0
C0T870,鯉魚潭,2026-06-15T18:00:00+08:00,25.1,97.0,991.5,0.0,0.0,1.5,0
C0T9B0,水源,2026-06-15T18:00:00+08:00,22.5,97.0,946.7,0.5,288.0,3.0,0
C0T9G0,鳳林山,2026-06-15T18:00:00+08:00,22.4,100.0,942.5,0.0,0.0,4.5,0
C0T960,光復,2026-06-15T18:00:00+08:00,25.3,97.0,993.9,0.0,0.0,2.5,0
C0T900,西林,2026-06-15T18:00:00+08:00,25.1,98.0,987.2,0.1,0.0,3.0,0
C0T9A0,月眉山,2026-06-15T18:00:00+08:00,22.5,100.0,952.6,0.1,0.0,1.0,0
C0T9E0,大坑,2026-06-15T18:00:00+08:00,23.1,100.0,962.3,0.0,0.0,1.0,0
C0T9H0,加路蘭山,2026-06-15T18:00:00+08:00,22.6,86.0,928.4,0.6,201.0,1.5,0
C0T9F0,水璉,2026-06-15T18:00:00+08:00,23.9,97.0,979.2,0.0,0.0,1.5,0
C0T9I0,豐濱,2026-06-15T18:00:00+08:00,25.0,92.0,990.4,0.4,83.0,2.0,0
C0Z020,明里,2026-06-15T18:00:00+08:00,24.8,98.0,982.9,0.3,75.0,5.0,0
C0Z061,玉里,2026-06-15T18:00:00+08:00,25.1,95.0,990.5,0.5,106.0,4.0,0
C0Z070,舞鶴,2026-06-15T18:00:00+08:00,24.0,97.0,979.1,0.0,0.0,4.5,0
C0Z050,佳心,2026-06-15T18:00:00+08:00,21.0,98.0,918.4,0.2,0.0,6.5,0
C0Z080,富源,2026-06-15T18:00:00+08:00,24.1,99.0,974.1,0.0,0.0,4.0,0
C0Z150,吉安光華,2026-06-15T18:00:00+08:00,25.9,91.0,1004.3,0.9,203.0,1.0,0
C0Z160,鳳林,2026-06-15T18:00:00+08:00,25.5,94.0,994.3,0.6,65.0,1.0,0
C0Z170,卓溪,2026-06-15T18:00:00+08:00,25.1,94.0,984.6,0.6,228.0,5.0,0
C0Z180,新城,2026-06-15T18:00:00+08:00,25.7,94.0,1003.5,0.1,0.0,1.0,0
C0Z190,富世,2026-06-15T18:00:00+08:00,25.2,92.0,999.9,0.0,0.0,1.0,0
C0Z200,萬榮,2026-06-15T18:00:00+08:00,25.6,92.0,990.5,0.0,0.0,3.0,0
C0Z210,瑞穗,2026-06-15T18:00:00+08:00,25.5,96.0,994.0,0.3,42.0,4.0,0
C0Z250,瑞穗林道,2026-06-15T18:00:00+08:00,19.9,91.0,886.2,0.5,184.0,6.5,0
C0Z270,蕃薯寮,2026-06-15T18:00:00+08:00,24.0,92.0,969.2,0.3,142.0,1.0,0
C0Z280,德武,2026-06-15T18:00:00+08:00,25.6,94.0,982.5,0.6,117.0,2.5,0
C0Z290,赤柯山,2026-06-15T18:00:00+08:00,22.0,84.0,905.3,1.7,232.0,3.0,0
C0Z300,東里,2026-06-15T18:00:00+08:00,25.5,94.0,987.7,0.3,183.0,4.0,0
C0Z310,清水斷崖,2026-06-15T18:00:00+08:00,23.7,99.0,1000.7,0.6,16.0,1.5,0
C0Z320,清水林道,2026-06-15T18:00:00+08:00,21.8,99.0,937.0,0.8,244.0,6.0,0
C0Z330,安通山,2026-06-15T18:00:00+08:00,22.9,93.0,953.9,0.3,144.0,3.0,0
C0T9M0,靜浦,2026-06-15T18:00:00+08:00,24.9,100.0,997.4,0.4,350.0,1.5,0
C0S830,長濱,2026-06-15T18:00:00+08:00,24.1,98.0,975.5,0.6,341.0,2.5,0
C0S810,東河,2026-06-15T18:00:00+08:00,26.0,88.0,1001.0,2.2,323.0,2.0,0
C0S730,綠島,2026-06-15T18:00:00+08:00,27.8,91.0,993.4,3.2,229.0,0.0,0
C0S660,下馬,2026-06-15T18:00:00+08:00,21.0,97.0,921.8,0.1,0.0,10.0,0
C0S750,向陽,2026-06-15T18:00:00+08:00,13.5,100.0,772.6,0.6,279.0,27.5,0
C0S760,紅石,2026-06-15T18:00:00+08:00,18.4,77.0,837.6,0.4,170.0,17.5,0
C0S740,池上,2026-06-15T18:00:00+08:00,24.7,96.0,975.0,0.0,0.0,8.0,0
C0S710,鹿野,2026-06-15T18:00:00+08:00,23.8,100.0,965.0,1.0,341.0,11.0,0
C0SA80,土坂,2026-06-15T18:00:00+08:00,25.4,92.0,991.9,0.0,0.0,4.5,0
C0S770,大溪山,2026-06-15T18:00:00+08:00,25.6,82.0,965.1,0.5,15.0,3.0,0
C0S840,南田,2026-06-15T18:00:00+08:00,27.1,87.0,1006.5,0.0,0.0,3.5,0
C0S790,金崙,2026-06-15T18:00:00+08:00,27.9,67.0,981.2,3.2,280.0,9.0,0
C0S690,太麻里,2026-06-15T18:00:00+08:00,24.9,74.0,948.9,1.4,253.0,8.0,0
C0S700,知本,2026-06-15T18:00:00+08:00,23.8,91.0,951.5,0.9,152.0,9.5,0
C0T9N0,富里,2026-06-15T18:00:00+08:00,24.8,95.0,977.8,0.0,0.0,6.0,0
C0C700,中壢,2026-06-15T18:00:00+08:00,26.1,79.0,990.4,0.9,160.0,0.5,0
C0X320,柳營,2026-06-15T18:00:00+08:00,24.0,98.0,1005.5,3.0,133.0,60.0,50
C0D700,關西,2026-06-15T18:00:00+08:00,24.4,99.0,988.6,1.0,85.0,3.0,0
C0M860,新美,2026-06-15T18:00:00+08:00,22.2,100.0,946.4,0.0,0.0,69.5,50
C0G920,永靖,2026-06-15T18:00:00+08:00,25.9,90.0,1004.4,2.1,173.0,13.5,0
C0G940,竹塘,2026-06-15T18:00:00+08:00,24.9,94.0,1006.9,0.0,0.0,16.0,0
C0K590,雲林東勢,2026-06-15T18:00:00+08:00,24.7,99.0,1006.7,1.9,160.0,32.5,0
C0R320,車城,2026-06-15T18:00:00+08:00,28.1,92.0,1007.7,1.4,241.0,8.5,0
C0R440,大漢山,2026-06-15T18:00:00+08:00,17.9,100.0,832.3,1.9,106.0,65.5,50
C0R700,枋山,2026-06-15T18:00:00+08:00,28.0,82.0,1006.7,2.5,227.0,8.0,0
C0R660,枋寮,2026-06-15T18:00:00+08:00,26.9,96.0,1007.0,1.7,100.0,15.0,0
C0R670,楓港,2026-06-15T18:00:00+08:00,27.8,92.0,1006.3,2.0,205.0,8.0,0
C0R280,檳榔,2026-06-15T18:00:00+08:00,25.7,100.0,981.0,2.5,286.0,17.5,0
C0R341,牡丹,2026-06-15T18:00:00+08:00,26.6,100.0,981.9,5.8,213.0,13.5,0
C0R680,佳樂水,2026-06-15T18:00:00+08:00,28.5,91.0,1007.3,3.7,273.0,6.0,0
C0R690,墾丁,2026-06-15T18:00:00+08:00,26.5,98.0,981.3,1.9,247.0,3.0,0
C0R720,旭海,2026-06-15T18:00:00+08:00,26.9,84.0,983.5,4.2,236.0,2.0,0
C0R350,貓鼻頭,2026-06-15T18:00:00+08:00,28.3,92.0,1005.0,1.9,257.0,5.0,0
C0R620,墾雷,2026-06-15T18:00:00+08:00,28.4,95.0,1005.8,3.8,107.0,1.5,0
C0R750,四林格山,2026-06-15T18:00:00+08:00,24.9,100.0,947.1,4.4,263.0,27.5,0
C0R730,大坪頂,2026-06-15T18:00:00+08:00,27.7,100.0,990.8,0.8,119.0,19.0,0
C0R710,龍磐,2026-06-15T18:00:00+08:00,27.4,96.0,996.0,3.5,218.0,2.5,0
C0R741,獅子,2026-06-15T18:00:00+08:00,28.0,93.0,1001.8,1.5,194.0,10.5,0
C0U760,東澳,2026-06-15T18:00:00+08:00,24.3,94.0,1005.5,0.0,0.0,2.0,0
C0U770,南澳,2026-06-15T18:00:00+08:00,24.5,99.0,1007.0,2.3,311.0,2.5,0
C0T9D0,和中,2026-06-15T18:00:00+08:00,23.6,98.0,1006.3,0.0,0.0,1.5,0
C0U960,翠峰湖,2026-06-15T18:00:00+08:00,16.2,100.0,812.0,0.1,0.0,3.5,0
C0Z220,和平林道,2026-06-15T18:00:00+08:00,21.9,97.0,943.5,1.0,253.0,2.0,0
C0Z230,和平,2026-06-15T18:00:00+08:00,25.5,89.0,1004.5,1.6,296.0,1.0,0
C0UA60,樟樹山,2026-06-15T18:00:00+08:00,22.1,99.0,944.9,2.2,268.0,3.0,0
C0UA70,桃源谷,2026-06-15T18:00:00+08:00,23.5,90.0,947.5,4.2,12.0,0.0,0
C0UA50,西帽山,2026-06-15T18:00:00+08:00,20.6,96.0,919.4,0.3,10.0,2.5,0
C0UA40,西德山,2026-06-15T18:00:00+08:00,19.0,95.0,886.5,2.2,16.0,2.5,0
C0AH90,福山植物園,2026-06-15T18:00:00+08:00,22.4,98.0,936.2,0.0,0.0,0.5,0
C0UA10,鴛鴦湖,2026-06-15T18:00:00+08:00,17.5,99.0,829.7,0.0,0.0,4.5,0
C0UA30,白嶺,2026-06-15T18:00:00+08:00,18.5,100.0,858.2,0.0,0.0,3.5,0
C0UA00,土場,2026-06-15T18:00:00+08:00,23.2,96.0,964.5,1.1,281.0,2.0,0
C0U990,員山,2026-06-15T18:00:00+08:00,26.7,95.0,1003.7,0.0,0.0,0.5,0
C0C620,蘆竹,2026-06-15T18:00:00+08:00,26.1,85.0,1003.9,,,0.0,0
C0D540,橫山,2026-06-15T18:00:00+08:00,23.8,99.0,982.5,0.0,0.0,5.0,0
C0D590,新豐,2026-06-15T18:00:00+08:00,24.6,99.0,991.7,2.3,229.0,4.5,0
C0D550,雪霸,2026-06-15T18:00:00+08:00,15.0,99.0,809.1,0.2,0.0,12.5,0
C0D560,竹東,2026-06-15T18:00:00+08:00,24.8,100.0,990.9,0.9,87.0,2.5,0
C0C650,平鎮,2026-06-15T18:00:00+08:00,24.6,87.0,983.5,0.8,222.0,0.0,0
C0C630,大溪,2026-06-15T18:00:00+08:00,24.8,90.0,983.4,0.7,127.0,3.0,0
C0E730,頭份,2026-06-15T18:00:00+08:00,26.2,81.0,1002.5,0.4,217.0,4.5,0
C0D580,寶山,2026-06-15T18:00:00+08:00,24.2,98.0,993.1,0.0,0.0,3.5,0
C0E820,獅潭,2026-06-15T18:00:00+08:00,23.4,93.0,982.5,3.4,212.0,8.0,0
C0C660,楊梅,2026-06-15T18:00:00+08:00,25.3,81.0,987.4,1.2,161.0,2.5,0
C0D650,湖口,2026-06-15T18:00:00+08:00,25.5,79.0,996.0,1.9,226.0,2.5,0
C0C670,龍潭,2026-06-15T18:00:00+08:00,24.1,90.0,979.3,0.7,193.0,3.5,0
C0D660,新竹市東區,2026-06-15T18:00:00+08:00,24.9,82.0,999.3,1.1,176.0,3.0,0
C0E850,大河,2026-06-15T18:00:00+08:00,26.0,76.0,994.1,1.8,180.0,3.5,0
C0F9Y0,桃山,2026-06-15T18:00:00+08:00,8.7,100.0,686.2,2.7,223.0,6.0,0
C0F9Z0,雪山東峰,2026-06-15T18:00:00+08:00,9.8,94.0,695.8,6.0,220.0,17.0,0
C0F0A0,雪山圈谷,2026-06-15T18:00:00+08:00,7.4,100.0,663.6,4.2,180.0,29.5,0
C0C680,龜山,2026-06-15T18:00:00+08:00,24.8,87.0,980.0,0.4,176.0,0.5,0
C0F0D0,審馬陣,2026-06-15T18:00:00+08:00,9.2,100.0,697.2,4.6,145.0,16.0,0
C0F0E0,南湖圈谷,2026-06-15T18:00:00+08:00,7.3,100.0,665.0,3.1,76.0,17.5,0
C0E750,苗栗,2026-06-15T18:00:00+08:00,26.8,71.0,999.1,4.1,198.0,3.5,0
C0E780,銅鑼,2026-06-15T18:00:00+08:00,24.6,91.0,989.1,1.7,210.0,6.0,0
C0E810,西湖,2026-06-15T18:00:00+08:00,24.3,92.0,1001.7,1.9,208.0,8.0,0
C0F9K0,大安,2026-06-15T18:00:00+08:00,25.3,88.0,1003.5,3.7,183.0,9.0,0
C0F9L0,后里,2026-06-15T18:00:00+08:00,26.5,72.0,979.7,1.4,182.0,20.0,0
C0F9M0,豐原,2026-06-15T18:00:00+08:00,28.0,73.0,981.0,1.8,168.0,17.5,0
C0F9O0,潭子,2026-06-15T18:00:00+08:00,26.5,80.0,986.3,1.7,181.0,16.5,0
